id,session,label,defect,n_samples,duration_s,n_estop,R01_mean,R01_max,R01_std,R01_rms,R02_mean,R02_max,R02_std,R02_rms,R03_mean,R03_max,R03_std,R03_rms,R04_mean,R04_max,R04_std,R04_rms,pred,anomaly_score,threshold,is_anomaly
5_30,5,NoNose,True,2937,293.641,0,424.62104187946886,626,45.44143616921897,427.04478717736697,1310.0405175348997,1358,14.751716503056935,1310.1235425062835,1649.3718079673135,8835,1283.4330560631802,2089.7528384415705,602.7061627511066,1375,156.55293676265,622.6999243439851,NoNose,19.006243826736274,6.301385147702073,True
5_31,5,NoNose,True,2944,294.305,0,425.3108016304348,610,47.26534799911512,427.9281858782169,1309.703125,1363,15.032601690146112,1309.7893639777085,1648.7550951086957,8741,1284.1140334784948,2089.684691458181,601.5896739130435,1333,168.40131178155212,624.7075353759027,NoNose,18.016777098904825,6.301385147702073,True
5_32,5,NoNose,True,2948,294.712,0,430.1109226594301,627,47.52345420729783,432.72753365754994,1309.5454545454545,1364,14.542344347739645,1309.6261701581461,1659.995251017639,8889,1327.918394179186,2125.641864909556,601.4993215739485,1365,159.70952275570215,622.3342455316639,NoNose,18.1584162498735,6.301385147702073,True
5_33,5,NoNose,True,2943,294.287,0,428.43764865783214,646,45.22914056066202,430.8175934716644,1310.1719334012912,1361,14.965369061326959,1310.2573721386302,1648.9809717974856,8591,1273.3540417391116,2083.2709416141656,603.8243289160721,1309,153.70444523409577,623.0737108348716,NoNose,17.879374071143342,6.301385147702073,True
5_34,5,NoNose,True,2942,294.094,0,423.1607749830048,617,48.870509960218946,425.9724831772602,1309.3127124405166,1358,15.52166997725887,1309.4046812603788,1656.6254248810333,8834,1305.8747661504476,2109.2977647793255,611.9629503738953,1875,136.4619992509828,626.9881978187013,NoNose,32.78893473802432,6.301385147702073,True
5_35,5,NoNose,True,2945,294.41,0,427.1867572156197,568,47.20839871048608,429.7864605798941,1310.3677419354838,1363,14.799093128748805,1310.4512802446097,1648.6224108658744,8598,1271.168702794784,2081.6524787065837,608.1242784380306,1238,151.66057787422963,626.7441732825549,NoNose,16.763365213689617,6.301385147702073,True
5_36,5,NoNose,True,2946,294.495,0,421.11405295315683,611,46.75124968852662,423.70034579621756,1309.999660556687,1364,14.718536407415648,1310.082315137947,1652.917854718262,8883,1301.7745344647556,2103.8486510772373,610.0638153428378,1327,129.8566429140293,623.7266088220173,NoNose,18.341097288114018,6.301385147702073,True
5_37,5,NoNose,True,2941,294.096,0,417.67018021081265,612,52.308198635503814,420.9318195810387,1307.1326079564774,1366,16.27677577276267,1307.233911023535,1649.6273376402585,8628,1277.306422832917,2086.199248307366,607.3417205032302,1327,149.21636754673256,625.3974089130403,NoNose,19.040486411123798,6.301385147702073,True
5_38,5,NoNose,True,2950,295.054,0,414.2837288135593,618,52.83147072927069,417.63767323086995,1307.0759322033898,1357,16.38390511936867,1307.178577661945,1649.949152542373,8799,1297.789327594246,2099.0517883486086,612.3491525423728,1272,137.08306542757128,627.5005030722543,NoNose,17.831576400167506,6.301385147702073,True
5_39,5,NoNose,True,2948,294.739,0,422.59023066485753,723,48.88322893179714,425.4071726603607,1308.1221166892808,1354,15.25245131513009,1308.211003825137,1645.3215739484397,8495,1266.0984968992975,2075.944297238596,605.5671641791045,1404,173.00528863394536,629.7874778842973,NoNose,20.94522973189185,6.301385147702073,True
5_4,5,NoNose,True,3009,300.784,0,438.0754403456298,747,51.9642364838701,441.1456402432381,1309.7720172814888,1362,15.945131191947738,1309.869039242766,1795.1213027583915,9462,1566.1033071687507,2382.084160106267,593.8777002326354,1311,126.53008613515162,607.2028202108835,NoNose,16.328482733895328,6.301385147702073,True
5_40,5,NoNose,True,3594,359.41,0,419.7929883138564,577,52.599818254513764,423.0746081907009,1310.4924874791318,1379,16.351485616629528,1310.59446680786,1684.7960489705065,8780,1325.3303049958356,2143.490007588597,604.6076794657763,1276,151.52863803866296,623.3016809951994,NoNose,16.81457865358357,6.301385147702073,True
5_41,5,NoNose,True,2948,294.789,0,420.68792401628224,577,47.37754880756166,423.346430403854,1310.1119402985075,1371,15.63627398172994,1310.2052153161044,1650.901289009498,8506,1278.0052418222886,2087.6346491726113,609.2360922659431,1449,168.4392532715628,632.0844675232297,NoNose,20.989341327363665,6.301385147702073,True
5_42,5,NoNose,True,3107,310.585,0,423.4177663340843,572,45.93729361903383,425.90158558648886,1309.9008690054716,1359,14.921165100296866,1309.98582287417,1639.2822658513035,8824,1265.985926291269,2071.0989524734437,615.521725136788,1443,152.26761746640923,634.0701531570127,NoNose,21.343406311539663,6.301385147702073,True
5_43,5,NoNose,True,3035,303.418,0,413.499176276771,586,47.55219436755407,416.2235396104657,1308.4388797364086,1374,15.443406925473278,1308.5299852278997,1640.2939044481054,8528,1256.8097800709074,2066.304543038102,613.8968698517298,1297,174.4972179641062,638.2073434077453,NoNose,18.976146753091044,6.301385147702073,True
5_44,5,NoNose,True,3082,308.095,0,407.42926670992864,771,51.05841484768641,410.61505480397057,1307.3413367942894,1373,15.44439528007348,1307.4325308949255,1637.1722907203116,8821,1264.11949842611,2068.287388622241,617.6609344581441,1369,182.18946153662253,643.962157192619,NoNose,21.370457384336234,6.301385147702073,True
5_45,5,NoNose,True,3017,301.67,0,412.9184620483924,592,47.66714951055399,415.65978916034925,1307.2386476632416,1364,15.774839089613716,1307.3337924996817,1639.875041431886,8584,1252.535617897417,2063.3748141814845,617.6546237984753,1356,172.7046167724205,641.3378459762621,NoNose,20.466117171715076,6.301385147702073,True
5_46,5,NoNose,True,3015,301.498,0,414.46666666666664,608,49.91065807004289,417.4600164566265,1310.2457711442787,1364,15.258803452682468,1310.334588820746,1709.7714759535654,8849,1438.1081930898526,2234.0070993026543,615.0252072968491,1386,156.07783742474228,634.5141584291857,NoNose,19.172498304423375,6.301385147702073,True
5_47,5,NoNose,True,3229,322.795,0,417.9482812016104,563,45.28957621167009,420.39419149949725,1310.1124187054816,1357,15.122488239727312,1310.199667406923,1625.3353979560236,8499,1216.2505995856977,2029.9070318779413,606.9761536079282,1424,192.25955643244288,636.688574314589,NoNose,22.96488431033919,6.301385147702073,True
5_48,5,NoNose,True,3062,306.093,0,409.3811234487263,690,51.835011512196694,412.6486340296764,1309.008817766166,1385,16.433950662408897,1309.111940027239,1643.4474199869367,8837,1278.3042583366503,2081.933606247565,604.5545395166558,1323,183.49913221320492,631.7809161896217,NoNose,19.07963363529562,6.301385147702073,True
5_49,5,NoNose,True,3053,305.383,0,408.83164100884375,555,48.74665517133159,411.72657037413455,1308.7638388470357,1355,14.934838016163445,1308.8490219277064,1636.504421880118,8520,1240.523327819534,2053.421726955375,610.7628562070095,1351,173.9285513999974,635.0373995707549,NoNose,20.93313476563212,6.301385147702073,True
5_5,5,NoNose,True,3092,308.99,0,445.0637128072445,628,46.36570079783756,447.4715537295683,1310.9641009055626,1356,14.944489274966486,1311.049251322001,1768.0717981888745,9032,1482.0887118772907,2306.9361550927233,588.20957309185,1399,138.1038532376272,604.1994767971637,NoNose,17.33480894324657,6.301385147702073,True
5_50,5,NoNose,True,3006,300.516,0,400.5189620758483,555,48.68529254511626,403.4661177640977,1306.0572188955423,1364,15.422201926537083,1306.148239756204,1645.9720558882236,8770,1283.105159551152,2086.8721015745086,626.4807052561544,1302,170.89199319474127,649.363097300523,NoNose,19.073864306586962,6.301385147702073,True
5_51,5,NoNose,True,2939,294.09,0,396.6250425314733,589,52.498911774742794,400.0832692334399,1306.390949302484,1388,15.921606360493845,1306.4879347761116,1645.825450833617,8458,1262.7931472852515,2074.3301005652215,624.7873426335489,1384,170.4735706426668,647.6191578887331,NoNose,21.49221567811534,6.301385147702073,True
5_52,5,NoNose,True,2946,294.485,0,407.4830278343517,596,45.91663536072171,410.06101950181466,1307.071961982349,1369,15.187014648777666,1307.1601588647375,1656.2803801765106,8788,1314.0853244238767,2114.1189134106753,632.9025797691786,1495,128.1642953445006,645.7446758234859,NoNose,23.66594467751998,6.301385147702073,True
5_53,5,NoNose,True,3380,337.885,0,407.85828402366866,600,43.958060395159045,410.21959878919637,1308.8961538461538,1349,14.701312973235515,1308.9786882195667,1741.1869822485207,8509,1419.2473814909652,2246.196630124672,630.0573964497041,1306,132.10345617208458,643.753433264815,NoNose,17.787325230576695,6.301385147702073,True
5_54,5,NoNose,True,3104,310.396,0,402.88273195876286,615,45.35292660677173,405.4265913888168,1307.9104381443299,1391,15.300082481669786,1307.999897291446,1641.8840206185566,8743,1273.7391314073375,2077.9008224561435,635.1156572164948,1318,141.75372683482706,650.7376917716293,NoNose,20.534407017501692,6.301385147702073,True
5_55,5,NoNose,True,3105,310.542,0,402.6743961352657,588,47.001308569510876,405.407302397674,1307.3896940418679,1370,15.673193410761998,1307.4836067670497,1634.3561996779388,8449,1239.7529491854027,2051.2465864576366,629.9900161030596,1295,151.3877394148385,647.9184261591282,NoNose,21.180481965584708,6.301385147702073,True
5_56,5,NoNose,True,3010,301.001,0,388.0501661129568,576,50.456379869122166,391.3156422808673,1306.512292358804,1366,16.085101499735845,1306.6112714261806,1643.792026578073,8723,1272.9404381949573,2078.915884417898,622.6006644518272,1349,210.83650672622647,657.3194442789918,NoNose,20.17915400223188,6.301385147702073,True
5_57,5,NoNose,True,2942,294.063,0,391.50373895309315,541,47.950074124998295,394.42820095728587,1305.015635622026,1358,15.252351737121796,1305.1047331068776,1648.5013596193066,8459,1275.360071096319,2084.117840644182,602.1288239292998,1372,285.9406366059365,666.5533564197639,NoNose,20.16286048532182,6.301385147702073,True
5_58,5,NoNose,True,2949,294.856,0,398.00101729399796,623,48.68214756460601,400.96627989489355,1305.6836215666328,1358,15.873480214666106,1305.7800739633956,1650.428958969142,8812,1293.1715116213702,2096.5784593027297,593.7226178365547,1450,283.9939353685499,658.1274596433858,NoNose,20.95230100901226,6.301385147702073,True
5_59,5,NoNose,True,2939,294.107,0,402.83599863899286,592,45.46497897189557,405.3926526098674,1308.9496427356244,1371,14.798240874850157,1309.0332618538282,1640.9571282749234,8415,1236.7630512737558,2054.7025815277784,585.0272201429058,1393,311.49412099431225,662.7612100688779,NoNose,22.2523426186919,6.301385147702073,True
5_6,5,NoNose,True,2947,294.593,0,441.3729216152019,621,46.80364132766975,443.84670039436713,1312.03393281303,1362,14.952795227140149,1312.119107043596,1816.7757041058703,9895,1615.790709640104,2431.1659066016996,593.5670173057347,1385,133.9225636693455,608.4825150792001,NoNose,16.85195416594213,6.301385147702073,True
5_60,5,NoNose,True,2945,294.583,0,403.41765704584043,684,47.80085742674003,406.23878707262935,1308.3870967741937,1356,14.528068663879047,1308.4677252861263,1653.0387096774193,8803,1295.739339790376,2100.216015973624,592.9901528013582,1302,270.9921339369782,651.9579142103638,NoNose,18.689524110485387,6.301385147702073,True
